BS_Tilt,BS_Azimuth,BS_Height,Distance,UE_Azimuth,UE_Tilt,LOS,Indoor_Path,Outdoor_Path,RSRP
1.0,297.0,29.0,754.02,124.95,-3.6046,0.0,37.664,714.91,-80.711
0.0,183.0,32.0,416.66,276.48,-3.5022,0.0,25.462,390.03,-97.274
0.0,282.0,29.0,822.59,305.1,-0.45273,0.0,6.4087,814.61,-108.84
0.0,179.0,32.0,803.2,218.68,-2.3171,0.0,69.247,732.94,-108.9
0.0,58.0,28.0,1480.2,283.04,0.096772,0.0,414.24,1062.0,-119.59
0.0,42.0,29.0,855.11,265.98,-1.1054,0.0,162.83,689.86,-107.77
0.0,319.0,32.0,500.33,197.57,-4.7415,0.0,16.287,483.82,-82.461
0.0,282.0,29.0,1186.4,173.17,-2.2445,0.0,41.155,1145.0,-105.02
0.0,310.0,32.0,895.0,269.94,-0.99219,0.0,308.4,584.06,-118.4
0.0,306.0,32.0,806.69,156.01,-4.3597,0.0,175.65,630.58,-94.649
0.0,314.3,32.0,974.93,201.35,-2.2028,1.0,0.0,974.39,-103.84
0.0,306.0,32.0,1094.5,163.6,-3.4247,0.0,9.4322,1084.7,-83.836
2.0,197.0,32.0,1982.0,11.82,-0.76602,0.0,698.12,1283.3,-118.84
0.0,282.0,29.0,915.01,314.65,0.093926,0.0,82.313,831.36,-112.52
0.0,301.0,34.0,260.21,130.79,-9.9184,0.0,70.709,189.07,-91.899
0.0,44.0,29.0,676.3,139.86,-3.8489,0.0,141.29,534.18,-101.65
2.0,197.0,32.0,1607.1,25.465,-1.3367,0.0,253.1,1352.9,-113.27
0.0,282.0,29.0,699.76,280.96,-1.1871,0.0,186.8,511.05,-109.46
0.0,175.0,29.0,555.95,295.69,-2.0088,1.0,0.0,554.67,-80.274
0.0,306.0,32.0,1416.6,208.92,-1.88,0.0,406.06,1009.4,-126.84
0.0,306.0,32.0,319.36,164.01,-9.6844,0.0,4.6949,314.56,-88.899
0.0,152.0,29.0,1485.5,216.38,-1.2534,0.0,160.97,1322.8,-119.21
2.0,197.0,32.0,1787.7,12.404,-0.91333,0.0,300.36,1486.8,-106.4
0.0,152.0,29.0,1085.0,259.54,-0.76563,0.0,26.206,1055.8,-98.399
2.0,197.0,32.0,338.1,43.562,-5.6585,0.0,101.36,236.24,-81.399
0.0,201.0,35.0,1578.0,274.54,-0.12708,0.0,373.02,1200.5,-127.02
0.0,183.0,32.0,704.65,41.836,-3.2084,0.0,76.025,627.63,-99.711
0.0,59.0,32.0,1329.6,153.99,-3.0351,0.0,141.4,1187.4,-117.09
0.0,59.0,32.0,1461.1,206.99,-1.9012,0.0,214.31,1245.7,-101.4
0.0,301.0,34.0,1790.4,38.765,-1.6796,0.0,574.46,1213.7,-127.46
1.0,297.0,29.0,572.96,24.105,-2.6481,0.0,183.51,389.08,-103.77
0.0,42.0,29.0,1199.3,186.32,-2.0773,0.0,377.05,821.99,-107.9
0.0,59.0,32.0,1544.0,189.47,-2.2068,0.0,178.61,1365.0,-102.59
0.0,44.0,29.0,408.1,1.2637,-3.0157,0.0,63.613,344.42,-101.09
6.0,299.0,35.0,645.04,359.38,-2.7072,0.0,109.0,535.93,-113.77
2.0,180.0,28.0,415.71,14.203,-4.881,0.0,78.036,337.53,-77.024
0.0,44.0,29.0,911.53,23.331,-0.97418,0.0,105.76,805.2,-114.9
0.0,201.0,35.0,421.97,285.81,-3.5935,1.0,0.0,420.87,-92.461
0.0,208.0,35.0,940.5,296.86,-0.82236,0.0,107.95,830.43,-119.84
1.0,297.0,29.0,850.22,74.934,-3.2648,0.0,261.13,586.81,-103.27
0.0,310.0,32.0,1099.2,312.46,-0.28668,0.0,333.85,763.64,-119.84
0.0,306.0,32.0,1598.2,187.08,-2.2037,0.0,366.82,1231.0,-117.96
0.0,301.0,34.0,1456.4,105.12,-2.6143,0.0,426.74,1025.9,-110.52
0.0,68.0,34.0,1114.0,118.18,-3.2624,0.0,412.22,699.33,-112.46
0.0,306.0,32.0,739.69,243.33,-2.6704,0.0,117.26,620.7,-108.34
0.0,183.0,32.0,434.18,94.227,-5.4599,0.0,200.62,232.33,-101.4
0.0,55.0,32.0,909.3,69.732,-2.9903,0.0,107.67,799.31,-122.59
0.0,208.0,35.0,553.05,353.98,-2.95,1.0,0.0,552.95,-76.461
0.0,152.0,29.0,670.8,277.54,-1.4091,0.0,24.388,644.54,-106.09
0.0,55.0,32.0,1655.0,12.457,-0.36353,0.0,142.24,1512.2,-117.27
1.0,297.0,29.0,416.35,304.53,-2.9561,1.0,0.0,415.54,-89.024
0.0,179.0,32.0,269.16,84.671,-9.3876,0.0,53.451,214.95,-94.524
1.0,297.0,29.0,860.87,136.55,-3.2245,0.0,240.5,619.17,-93.774
0.0,58.0,28.0,639.45,2.1509,-2.9095,0.0,57.377,581.96,-104.34
0.0,282.0,29.0,517.54,236.59,-3.483,0.0,229.01,287.46,-108.34
0.0,58.0,32.0,2135.7,9.2418,-0.57678,0.0,644.53,1490.7,-131.77
0.0,309.0,32.0,807.26,345.07,-1.4547,0.0,40.256,766.74,-109.52
0.0,41.6,32.0,1706.5,223.05,-0.65466,0.0,469.62,1234.4,-111.15
0.0,309.0,32.0,152.97,191.31,-12.709,0.0,58.038,94.888,-82.836
0.0,282.0,29.0,980.87,185.09,-2.4227,0.0,63.122,917.55,-117.27
0.0,183.0,32.0,246.89,212.6,-8.4098,0.0,109.39,137.25,-94.961
0.0,314.3,32.0,710.16,215.66,-2.7813,0.0,120.15,589.21,-108.09
0.0,319.0,32.0,1580.0,16.623,-0.67084,0.0,260.68,1318.7,-116.84
0.0,314.0,28.0,1560.4,357.58,-0.86282,0.0,367.73,1192.4,-126.9
2.0,180.0,28.0,1189.4,10.365,-1.7096,0.0,54.724,1134.4,-111.02
0.0,314.3,32.0,960.42,253.11,-0.98425,0.0,333.82,624.05,-123.27
0.0,68.0,34.0,1429.9,64.259,-2.4228,0.0,429.72,996.77,-124.4
0.0,44.0,29.0,558.4,257.91,-1.795,0.0,24.567,532.29,-83.524
